nodeId	predictedValue	name
1258	9518.39626	11040005
1259	3484.5094	11040004
1260	1286.44583	11040003
1261	33978.54266000001	11040001
1262	35344.93709	11040002
1274	19052.82789	11000001
1275	18819.17329	11000002
1276	3281.08724	10990001
1277	38313.668600000005	10980001
1281	76108.55375	10970004
1287	17008.408199999998	10960001
1303	740.9165	10940001
1304	12015.713249999999	10940002
1311	135062.92597	10920002
1312	3240.2077799999997	10920001
1316	93865.19285	10910004
1317	49700.40304999999	10910005
1318	7109.517510000001	10910006
1319	16041.160500000002	10910007
1320	45320.5423	10910008
1321	6108.470590000001	10910009
1322	3927.3124099999995	10910010
1323	11525.00273	10910011
1325	6303.338	10900001
1326	7881.9161300000005	10900002
1327	11624.0684	10900003
1328	14014.30664	10900004
1329	27058.362940000003	10900005
1330	40716.29627	10900006
1331	106659.62058999999	10900007
1332	20358.26731	10890001
1333	19829.869710000003	10890004
1334	2772.0343700000003	10890003
1335	28256.03213	10890002
1337	80571.91612	10870001
1338	84506.48194	10870002
1339	117067.27923000001	10870003
1340	82204.55543000001	10870004
1341	37638.4348	10860006
1342	33853.84805000001	10860007
1343	30359.66349	10860008
1344	38232.659080000005	10860009
1345	29174.66915	10860010
1346	17069.469080000003	10860011
1347	7745.84986	10860012
1348	9580.11737	10860013
1349	6642.516740000001	10860014
1350	5681.0388299999995	10860015
1351	9631.181789999999	10860016
1352	12500.202849999998	10860017
1353	9529.542449999999	10860018
1354	9488.53687	10860019
1355	33836.36972	10860020
1356	35290.28832000001	10860021
1357	34390.49341	10860005
1358	36019.31855	10860004
1359	16090.058719999997	10860003
1360	611.03481	10860002
1361	6562.55331	10860001
1362	241633.40683999998	10850001
1363	619.07182	10850002
1364	245354.84952	10850003
1365	156407.40664	10850004
1366	246731.88491000002	10850005
1367	57645.785349999984	10850007
1368	2167.0343599999997	10850008
1369	57533.68606999998	10850009
1370	21863.422969999996	10850010
1371	976.0261799999998	10850011
1372	893.3759699999998	10850012
1373	1871.33458	10850013
1374	163031.29963	10850014
1375	48043.45342	10850015
1376	161795.98362	10850006
1377	101115.17506999998	10840001
1378	195744.87939000002	10840002
1379	99325.86419000001	10840003
1380	61807.27808	10840004
1381	7924.48769	10840005
1385	3302.38545	10810001
1386	20386.953289999998	10810002
1398	69609.07349	10800011
1401	34032.56792	10800014
1402	26565.85271	10800015
1407	117067.27923000001	10790015
1410	98828.20585	10790010
1412	98813.24855999999	10790002
1415	99634.71283	10790005
1417	117067.27923000001	10790007
1422	81326.40026	10780015
1429	62450.39725	10780022
1430	79082.91078	10780023
1436	22184.299860000003	10780029
1437	83303.11349	10780030
1442	3577.9430400000006	10780035
1443	68360.42293	10780014
1453	32574.584779999997	10780007
1463	5652.53711	10780045
1465	68076.67288	10780047
1470	4265.792489999999	10780037
1481	45880.82197	10750019
1482	45130.20367	10750020
1483	20270.64009	10750021
1484	6588.124729999999	10750022
1485	5923.190979999999	10750023
1486	56086.621199999994	10750024
1487	30349.23429	10750025
1488	45119.103189999994	10750026
1489	2992.7319400000006	10750027
1490	6945.568549999999	10750028
1491	43043.06576	10750029
1492	24269.77282	10750030
1493	11521.964270000002	10750031
1494	35819.4707	10750032
1495	39816.91263	10750033
1496	108376.56850999998	10750034
1497	28476.02537	10750035
1498	9281.310130000002	10750036
1499	25286.84577	10750037
1500	50915.38121000001	10750038
1501	25493.48503	10750039
1502	27108.78747	10750018
1503	2293.6879999999996	10750040
1504	25364.31454	10750017
1505	49521.83506	10750015
1506	598.3473500000001	10750001
1507	9884.78256	10750002
1508	5776.554969999999	10750003
1509	45161.59119	10750004
1510	29416.952920000003	10750005
1511	45738.350099999996	10750006
1512	11465.242980000003	10750007
1513	22939.710389999997	10750008
1514	45783.33945	10750009
1515	26839.22339	10750010
1516	8286.89323	10750011
1517	10846.252280000002	10750012
1518	549.01524	10750013
1519	24839.217699999997	10750014
1520	6441.17188	10750016
1521	2961.14099	10750041
1522	31849.177619999995	10750042
1523	5399.248120000001	10750043
1524	49415.750140000004	10750044
1525	3735.83194	10750045
1535	10701.86177	10740009
1554	104872.20714000003	10720008
1557	100055.61324	10720007
1558	3958.09472	10720006
1559	9274.093689999998	10720005
1560	13457.258370000001	10720004
1561	40060.52316	10720001
1562	5017.04743	10720002
1563	33430.83981	10720003
1564	13259.53089	10710001
1565	2137.60313	10710002
1566	13888.332809999998	10710003
1567	34062.93162	10700001
1568	16033.343099999998	10700002
1569	9644.971419999998	10700003
1570	7920.336539999998	10690001
1571	34253.65455000001	10690002
1572	5926.88047	10690003
1573	11067.539019999998	10690004
1574	14807.42947	10690006
1575	8469.690859999999	10690005
1576	49330.92224	10680001
1577	10288.599170000001	10680002
1578	18501.222009999998	10680003
1579	57770.112890000004	10680004
1580	5728.46853	10680005
1581	10789.5425	10688006
1582	6177.647820000001	10670001
1583	1938.93619	10670002
1584	26571.78787	10670003
1585	7472.97873	10670004
1587	4410.8525500000005	10660014
1589	17132.85718	10660016
1591	11437.247979999998	10660018
1593	40722.478820000004	10660020
1595	100017.63308	10660022
1597	11792.095500000003	10660024
1599	71734.04806	10660026
1601	9152.709760000002	10660028
1603	2088.99446	10660030
1606	19848.39892	10660033
1607	8402.584100000002	10660012
1611	7718.025170000001	10660001
1612	28818.98253	10660002
1614	3648.0122199999996	10660004
1616	12091.83353	10660006
